sale_date,medicine_name,manufacturer,storage_condition,quantity_sold,temperature,flu_season,rain,Unit_type
01/01/2019,Acetylcysteine syrup,DHG Pharma,Cool place,1294,18.28,1,0,chai
01/01/2019,Amoxicillin-Clavulanate,Glomed,Room temperature,1021,17.08,1,1,hộp
01/01/2019,Coldrex,GSK,Room temperature,2978,18.94,1,0,hộp
01/01/2019,Ibuprofen 200mg,Traphaco,Room temperature,3096,17.49,1,1,hộp
01/01/2019,Loratadine 10mg,Sanofi,Room temperature,1460,17.93,1,0,hộp
01/01/2019,Omeprazole 20mg,STADA,Room temperature,1583,19.17,1,1,hộp
01/01/2019,Paracetamol 500mg,DHG Pharma,Room temperature,4002,19.05,1,0,hộp
01/01/2019,Salbutamol inhaler,GSK,Cool place,1314,19.19,1,0,chai
01/01/2019,Salonpas,Hisamitsu,Dry place,4459,17.07,1,0,gói
01/01/2019,Smecta,Ipsen,Dry place,2459,17.64,1,0,gói
01/01/2019,Thuốc ho Prospan,Engelhard,Cool place,2474,17.47,1,0,chai
01/01/2019,V-Rohto,Rohto,Cool place,3246,18.58,1,0,chai
01/01/2019,Vitamin C 500mg,DHG Pharma,Room temperature,3690,15.93,1,0,hộp
01/01/2019,Vitamin D3 1000 IU,Nature Made,Room temperature,1475,17.10,1,0,lọ
01/01/2019,Xịt mũi Nazal,Nam Ha Pharma,Cool place,3451,16.64,1,0,chai
02/01/2019,Acetylcysteine syrup,DHG Pharma,Cool place,1304,18.23,1,1,chai
02/01/2019,Amoxicillin-Clavulanate,Glomed,Room temperature,1027,17.10,1,0,hộp
02/01/2019,Coldrex,GSK,Room temperature,2997,18.88,1,0,hộp
02/01/2019,Ibuprofen 200mg,Traphaco,Room temperature,3119,17.48,1,1,hộp
02/01/2019,Loratadine 10mg,Sanofi,Room temperature,1469,17.91,1,0,hộp
02/01/2019,Omeprazole 20mg,STADA,Room temperature,1592,19.11,1,0,hộp
02/01/2019,Paracetamol 500mg,DHG Pharma,Room temperature,4029,18.98,1,1,hộp
02/01/2019,Salbutamol inhaler,GSK,Cool place,1322,19.16,1,0,chai
02/01/2019,Salonpas,Hisamitsu,Dry place,4487,17.09,1,0,gói
02/01/2019,Smecta,Ipsen,Dry place,2473,17.67,1,0,gói
02/01/2019,Thuốc ho Prospan,Engelhard,Cool place,2493,17.49,1,0,chai
02/01/2019,V-Rohto,Rohto,Cool place,3268,18.54,1,0,chai
02/01/2019,Vitamin C 500mg,DHG Pharma,Room temperature,3714,16.03,1,0,hộp
02/01/2019,Vitamin D3 1000 IU,Nature Made,Room temperature,1483,17.15,1,0,lọ
02/01/2019,Xịt mũi Nazal,Nam Ha Pharma,Cool place,3468,16.67,1,0,chai
03/01/2019,Acetylcysteine syrup,DHG Pharma,Cool place,1314,18.18,1,0,chai
03/01/2019,Amoxicillin-Clavulanate,Glomed,Room temperature,1033,17.13,1,1,hộp
03/01/2019,Coldrex,GSK,Room temperature,3016,18.81,1,0,hộp
03/01/2019,Ibuprofen 200mg,Traphaco,Room temperature,3141,17.48,1,0,hộp
03/01/2019,Loratadine 10mg,Sanofi,Room temperature,1478,17.89,1,0,hộp
03/01/2019,Omeprazole 20mg,STADA,Room temperature,1601,19.06,1,0,hộp
03/01/2019,Paracetamol 500mg,DHG Pharma,Room temperature,4055,18.92,1,1,hộp
03/01/2019,Salbutamol inhaler,GSK,Cool place,1331,19.12,1,0,chai
03/01/2019,Salonpas,Hisamitsu,Dry place,4515,17.10,1,0,gói
03/01/2019,Smecta,Ipsen,Dry place,2487,17.70,1,0,gói
03/01/2019,Thuốc ho Prospan,Engelhard,Cool place,2513,17.51,1,1,chai
03/01/2019,V-Rohto,Rohto,Cool place,3290,18.51,1,0,chai
03/01/2019,Vitamin C 500mg,DHG Pharma,Room temperature,3738,16.12,1,0,hộp
03/01/2019,Vitamin D3 1000 IU,Nature Made,Room temperature,1492,17.20,1,0,lọ
03/01/2019,Xịt mũi Nazal,Nam Ha Pharma,Cool place,3485,16.70,1,1,chai
04/01/2019,Acetylcysteine syrup,DHG Pharma,Cool place,1324,18.13,1,0,chai
04/01/2019,Amoxicillin-Clavulanate,Glomed,Room temperature,1039,17.15,1,0,hộp
04/01/2019,Coldrex,GSK,Room temperature,3035,18.75,1,1,hộp
04/01/2019,Ibuprofen 200mg,Traphaco,Room temperature,3164,17.47,1,1,hộp
04/01/2019,Loratadine 10mg,Sanofi,Room temperature,1486,17.87,1,0,hộp
04/01/2019,Omeprazole 20mg,STADA,Room temperature,1609,19.00,1,0,hộp
04/01/2019,Paracetamol 500mg,DHG Pharma,Room temperature,4082,18.85,1,0,hộp
04/01/2019,Salbutamol inhaler,GSK,Cool place,1340,19.09,1,0,chai
04/01/2019,Salonpas,Hisamitsu,Dry place,4543,17.12,1,0,gói
04/01/2019,Smecta,Ipsen,Dry place,2501,17.73,1,0,gói
04/01/2019,Thuốc ho Prospan,Engelhard,Cool place,2532,17.53,1,0,chai
04/01/2019,V-Rohto,Rohto,Cool place,3312,18.47,1,0,chai
04/01/2019,Vitamin C 500mg,DHG Pharma,Room temperature,3763,16.22,1,0,hộp
04/01/2019,Vitamin D3 1000 IU,Nature Made,Room temperature,1501,17.25,1,0,lọ
04/01/2019,Xịt mũi Nazal,Nam Ha Pharma,Cool place,3503,16.73,1,1,chai
05/01/2019,Acetylcysteine syrup,DHG Pharma,Cool place,1335,18.08,1,0,chai
05/01/2019,Amoxicillin-Clavulanate,Glomed,Room temperature,1045,17.17,1,1,hộp
05/01/2019,Coldrex,GSK,Room temperature,3054,18.69,1,1,hộp
05/01/2019,Ibuprofen 200mg,Traphaco,Room temperature,3187,17.46,1,0,hộp
05/01/2019,Loratadine 10mg,Sanofi,Room temperature,1495,17.86,1,0,hộp
05/01/2019,Omeprazole 20mg,STADA,Room temperature,1618,18.94,1,0,hộp
05/01/2019,Paracetamol 500mg,DHG Pharma,Room temperature,4109,18.79,1,0,hộp
05/01/2019,Salbutamol inhaler,GSK,Cool place,1348,19.06,1,0,chai
