sale_date,medicine_name,manufacturer,storage_condition,quantity_sold,temperature,flu_season,rain,Unit_type,region,is_holiday,is_weekend
2019-01-01,Acetylcysteine syrup,DHG Pharma,Cool place,706,18.28,1,0,chai,Bắc,1,0
2019-01-01,Acetylcysteine syrup,DHG Pharma,Cool place,540,18.28,1,0,chai,Trung,1,0
2019-01-01,Acetylcysteine syrup,DHG Pharma,Cool place,389,18.28,1,0,chai,Nam,1,0
2019-01-01,Amoxicillin-Clavulanate,Glomed,Room temperature,527,17.08,1,1,hộp,Bắc,1,0
2019-01-01,Amoxicillin-Clavulanate,Glomed,Room temperature,449,17.08,1,1,hộp,Trung,1,0
2019-01-01,Amoxicillin-Clavulanate,Glomed,Room temperature,329,17.08,1,1,hộp,Nam,1,0
2019-01-01,Coldrex,GSK,Room temperature,1760,18.94,1,0,hộp,Bắc,1,0
2019-01-01,Coldrex,GSK,Room temperature,1300,18.94,1,0,hộp,Trung,1,0
2019-01-01,Coldrex,GSK,Room temperature,777,18.94,1,0,hộp,Nam,1,0
2019-01-01,Ibuprofen 200mg,Traphaco,Room temperature,1277,17.49,1,1,hộp,Bắc,1,0
2019-01-01,Ibuprofen 200mg,Traphaco,Room temperature,1179,17.49,1,1,hộp,Trung,1,0
2019-01-01,Ibuprofen 200mg,Traphaco,Room temperature,1458,17.49,1,1,hộp,Nam,1,0
2019-01-01,Loratadine 10mg,Sanofi,Room temperature,694,17.93,1,0,hộp,Bắc,1,0
2019-01-01,Loratadine 10mg,Sanofi,Room temperature,627,17.93,1,0,hộp,Trung,1,0
2019-01-01,Loratadine 10mg,Sanofi,Room temperature,560,17.93,1,0,hộp,Nam,1,0
2019-01-01,Omeprazole 20mg,STADA,Room temperature,596,19.17,1,1,hộp,Bắc,1,0
2019-01-01,Omeprazole 20mg,STADA,Room temperature,605,19.17,1,1,hộp,Trung,1,0
2019-01-01,Omeprazole 20mg,STADA,Room temperature,822,19.17,1,1,hộp,Nam,1,0
2019-01-01,Paracetamol 500mg,DHG Pharma,Room temperature,1727,19.05,1,0,hộp,Bắc,1,0
2019-01-01,Paracetamol 500mg,DHG Pharma,Room temperature,1713,19.05,1,0,hộp,Trung,1,0
2019-01-01,Paracetamol 500mg,DHG Pharma,Room temperature,1665,19.05,1,0,hộp,Nam,1,0
2019-01-01,Salbutamol inhaler,GSK,Cool place,680,19.19,1,0,chai,Bắc,1,0
2019-01-01,Salbutamol inhaler,GSK,Cool place,563,19.19,1,0,chai,Trung,1,0
2019-01-01,Salbutamol inhaler,GSK,Cool place,433,19.19,1,0,chai,Nam,1,0
2019-01-01,Salonpas,Hisamitsu,Dry place,1517,17.07,1,0,gói,Bắc,1,0
2019-01-01,Salonpas,Hisamitsu,Dry place,1618,17.07,1,0,gói,Trung,1,0
2019-01-01,Salonpas,Hisamitsu,Dry place,2431,17.07,1,0,gói,Nam,1,0
2019-01-01,Smecta,Ipsen,Dry place,954,17.64,1,0,gói,Bắc,1,0
2019-01-01,Smecta,Ipsen,Dry place,1027,17.64,1,0,gói,Trung,1,0
2019-01-01,Smecta,Ipsen,Dry place,1136,17.64,1,0,gói,Nam,1,0
2019-01-01,Thuốc ho Prospan,Engelhard,Cool place,1596,17.47,1,0,chai,Bắc,1,0
2019-01-01,Thuốc ho Prospan,Engelhard,Cool place,1158,17.47,1,0,chai,Trung,1,0
2019-01-01,Thuốc ho Prospan,Engelhard,Cool place,391,17.47,1,0,chai,Nam,1,0
2019-01-01,V-Rohto,Rohto,Cool place,1044,18.58,1,0,chai,Bắc,1,0
2019-01-01,V-Rohto,Rohto,Cool place,1336,18.58,1,0,chai,Trung,1,0
2019-01-01,V-Rohto,Rohto,Cool place,1812,18.58,1,0,chai,Nam,1,0
2019-01-01,Vitamin C 500mg,DHG Pharma,Room temperature,1441,15.93,1,0,hộp,Bắc,1,0
2019-01-01,Vitamin C 500mg,DHG Pharma,Room temperature,1432,15.93,1,0,hộp,Trung,1,0
2019-01-01,Vitamin C 500mg,DHG Pharma,Room temperature,1837,15.93,1,0,hộp,Nam,1,0
2019-01-01,Vitamin D3 1000 IU,Nature Made,Room temperature,683,17.1,1,0,lọ,Bắc,1,0
2019-01-01,Vitamin D3 1000 IU,Nature Made,Room temperature,610,17.1,1,0,lọ,Trung,1,0
2019-01-01,Vitamin D3 1000 IU,Nature Made,Room temperature,537,17.1,1,0,lọ,Nam,1,0
2019-01-01,Xịt mũi Nazal,Nam Ha Pharma,Cool place,2066,16.64,1,0,chai,Bắc,1,0
2019-01-01,Xịt mũi Nazal,Nam Ha Pharma,Cool place,1422,16.64,1,0,chai,Trung,1,0
2019-01-01,Xịt mũi Nazal,Nam Ha Pharma,Cool place,906,16.64,1,0,chai,Nam,1,0
2019-01-02,Acetylcysteine syrup,DHG Pharma,Cool place,1658,18.23,1,1,chai,Bắc,0,0
2019-01-02,Acetylcysteine syrup,DHG Pharma,Cool place,1279,18.23,1,1,chai,Trung,0,0
2019-01-02,Acetylcysteine syrup,DHG Pharma,Cool place,890,18.23,1,1,chai,Nam,0,0
2019-01-02,Amoxicillin-Clavulanate,Glomed,Room temperature,1194,17.1,1,0,hộp,Bắc,0,0
2019-01-02,Amoxicillin-Clavulanate,Glomed,Room temperature,1054,17.1,1,0,hộp,Trung,0,0
2019-01-02,Amoxicillin-Clavulanate,Glomed,Room temperature,815,17.1,1,0,hộp,Nam,0,0
2019-01-02,Coldrex,GSK,Room temperature,4069,18.88,1,0,hộp,Bắc,0,0
2019-01-02,Coldrex,GSK,Room temperature,3147,18.88,1,0,hộp,Trung,0,0
2019-01-02,Coldrex,GSK,Room temperature,1734,18.88,1,0,hộp,Nam,0,0
2019-01-02,Ibuprofen 200mg,Traphaco,Room temperature,3130,17.48,1,1,hộp,Bắc,0,0
2019-01-02,Ibuprofen 200mg,Traphaco,Room temperature,2789,17.48,1,1,hộp,Trung,0,0
2019-01-02,Ibuprofen 200mg,Traphaco,Room temperature,3328,17.48,1,1,hộp,Nam,0,0
2019-01-02,Loratadine 10mg,Sanofi,Room temperature,1603,17.91,1,0,hộp,Bắc,0,0
2019-01-02,Loratadine 10mg,Sanofi,Room temperature,1488,17.91,1,0,hộp,Trung,0,0
2019-01-02,Loratadine 10mg,Sanofi,Room temperature,1253,17.91,1,0,hộp,Nam,0,0
2019-01-02,Omeprazole 20mg,STADA,Room temperature,1366,19.11,1,0,hộp,Bắc,0,0
2019-01-02,Omeprazole 20mg,STADA,Room temperature,1424,19.11,1,0,hộp,Trung,0,0
2019-01-02,Omeprazole 20mg,STADA,Room temperature,1935,19.11,1,0,hộp,Nam,0,0
2019-01-02,Paracetamol 500mg,DHG Pharma,Room temperature,3981,18.98,1,1,hộp,Bắc,0,0
2019-01-02,Paracetamol 500mg,DHG Pharma,Room temperature,4011,18.98,1,1,hộp,Trung,0,0
2019-01-02,Paracetamol 500mg,DHG Pharma,Room temperature,4045,18.98,1,1,hộp,Nam,0,0
2019-01-02,Salbutamol inhaler,GSK,Cool place,1564,19.16,1,0,chai,Bắc,0,0
2019-01-02,Salbutamol inhaler,GSK,Cool place,1304,19.16,1,0,chai,Trung,0,0
2019-01-02,Salbutamol inhaler,GSK,Cool place,1038,19.16,1,0,chai,Nam,0,0
2019-01-02,Salonpas,Hisamitsu,Dry place,3646,17.09,1,0,gói,Bắc,0,0
2019-01-02,Salonpas,Hisamitsu,Dry place,4361,17.09,1,0,gói,Trung,0,0
