sale_date,medicine_name,manufacturer,storage_condition,quantity_sold,temperature,flu_season,rain,Unit_type,region,is_holiday,is_weekend
2019-01-01,Acetylcysteine syrup,DHG Pharma,Cool place,15,18.28,1,0,chai,Bắc,1,0
2019-01-01,Acetylcysteine syrup,DHG Pharma,Cool place,11,18.28,1,0,chai,Trung,1,0
2019-01-01,Acetylcysteine syrup,DHG Pharma,Cool place,8,18.28,1,0,chai,Nam,1,0
2019-01-01,Amoxicillin-Clavulanate,Glomed,Room temperature,11,17.08,1,1,hộp,Bắc,1,0
2019-01-01,Amoxicillin-Clavulanate,Glomed,Room temperature,9,17.08,1,1,hộp,Trung,1,0
2019-01-01,Amoxicillin-Clavulanate,Glomed,Room temperature,7,17.08,1,1,hộp,Nam,1,0
2019-01-01,Coldrex,GSK,Room temperature,36,18.94,1,0,hộp,Bắc,1,0
2019-01-01,Coldrex,GSK,Room temperature,26,18.94,1,0,hộp,Trung,1,0
2019-01-01,Coldrex,GSK,Room temperature,16,18.94,1,0,hộp,Nam,1,0
2019-01-01,Ibuprofen 200mg,Traphaco,Room temperature,26,17.49,1,1,hộp,Bắc,1,0
2019-01-01,Ibuprofen 200mg,Traphaco,Room temperature,24,17.49,1,1,hộp,Trung,1,0
2019-01-01,Ibuprofen 200mg,Traphaco,Room temperature,30,17.49,1,1,hộp,Nam,1,0
2019-01-01,Loratadine 10mg,Sanofi,Room temperature,14,17.93,1,0,hộp,Bắc,1,0
2019-01-01,Loratadine 10mg,Sanofi,Room temperature,13,17.93,1,0,hộp,Trung,1,0
2019-01-01,Loratadine 10mg,Sanofi,Room temperature,12,17.93,1,0,hộp,Nam,1,0
2019-01-01,Omeprazole 20mg,STADA,Room temperature,12,19.17,1,1,hộp,Bắc,1,0
2019-01-01,Omeprazole 20mg,STADA,Room temperature,13,19.17,1,1,hộp,Trung,1,0
2019-01-01,Omeprazole 20mg,STADA,Room temperature,17,19.17,1,1,hộp,Nam,1,0
2019-01-01,Paracetamol 500mg,DHG Pharma,Room temperature,35,19.05,1,0,hộp,Bắc,1,0
2019-01-01,Paracetamol 500mg,DHG Pharma,Room temperature,35,19.05,1,0,hộp,Trung,1,0
2019-01-01,Paracetamol 500mg,DHG Pharma,Room temperature,34,19.05,1,0,hộp,Nam,1,0
2019-01-01,Salbutamol inhaler,GSK,Cool place,14,19.19,1,0,chai,Bắc,1,0
2019-01-01,Salbutamol inhaler,GSK,Cool place,12,19.19,1,0,chai,Trung,1,0
2019-01-01,Salbutamol inhaler,GSK,Cool place,9,19.19,1,0,chai,Nam,1,0
2019-01-01,Salonpas,Hisamitsu,Dry place,31,17.07,1,0,gói,Bắc,1,0
2019-01-01,Salonpas,Hisamitsu,Dry place,33,17.07,1,0,gói,Trung,1,0
